Unnamed: 0,place_id_left,place_id_right,study_id,left,right,voter_uniqueid,choice,study_question,place_name_right,place_name_left,day,time,long_right,lat_right,long_left,lat_left,pair_key,left_num,right_num
323307,50e6fcabd7c3df413b000aa6,50e74a36d7c3df413b001488,50f62c41a84ea7c5fdd2e454,513e5dc3fdc9f0358700aeab,5140d960fdc9f04926003bb4,eb5b2e112cb848899d4c73ee3c359417,right,livelier,Dublin,Paris,2018-08-27,02:05:15,53.329323,-6.231006999999977,48.878382,2.4031159999999545,"513e5dc3fdc9f0358700aeab,5140d960fdc9f04926003bb4",7,9
57439,50e5f168d7c3df413b000279,50f3961cfdc9f065f0000bc2,50a68a51fdc9f05596000002,513d699ffdc9f035870047c4,50f448abfdc9f065f0004161,92904af41f39494389b03538f87c2ddf,right,safer,Sydney,Boston,2015-07-13,22:18:58,-33.903566,151.16954799999996,42.357972,-71.166405,"50f448abfdc9f065f0004161,513d699ffdc9f035870047c4",0,69
1060542,50f38816fdc9f065f0000364,50f39a95fdc9f065f0000e96,50a68a51fdc9f05596000002,5185d4edfdc9f03fd5001448,50f42c43fdc9f065f000198c,e5ef58ff8f0849c99050081570cdc22c,left,safer,Warsaw,Montreal,2014-10-20,01:00:26,52.246327,20.98201900000004,45.509565,-73.691506,"50f42c43fdc9f065f000198c,5185d4edfdc9f03fd5001448",41,24
1285003,50f39092fdc9f065f000097d,50e5ec46d7c3df413b000062,50a68a51fdc9f05596000002,50f5e56cfdc9f065f00068d7,513d5c71fdc9f03587003704,e76063c873754676ac5fb90110c4ac0b,left,safer,Barcelona,Sao Paulo,2014-10-18,19:56:07,41.357289,2.022962000000007,-23.483428,-46.697902,"50f5e56cfdc9f065f00068d7,513d5c71fdc9f03587003704",43,3
1125701,50f38aaefdc9f065f0000562,50e6fcabd7c3df413b000aa6,50f62ccfa84ea7c5fdd2e459,51422ad6fdc9f049260089a5,513e5d95fdc9f0358700ae31,aff93e7e083b43d3883cc25395ac5264,right,more depressing,Paris,Philadelphia,2016-11-28,09:37:15,48.885509,2.257231000000047,39.995581,-75.23079100000001,"513e5d95fdc9f0358700ae31,51422ad6fdc9f049260089a5",0,45
358434,50e6fdcdd7c3df413b000b08,50e756bed7c3df413b001866,50f62cb7a84ea7c5fdd2e458,51409ce6fdc9f04926001250,514139f7fdc9f049260055be,32a7ef492f904098b67ff6ea2a401c9c,left,wealthier,Johannesburg,Rome,2014-10-20,01:01:10,-26.172952,27.992590999999948,41.832117,12.56397400000003,"51409ce6fdc9f04926001250,514139f7fdc9f049260055be",29,16
1021724,50f38253fdc9f065f000019f,50e73766d7c3df413b00103f,50a68a51fdc9f05596000002,51414cbbfdc9f049260073e1,513f2d0cfdc9f0358700d985,0fd98cbbf6c2494b85f856f49550681a,right,safer,Berlin,Milan,2016-11-28,09:37:08,52.530081,13.551496000000045,45.476751,9.068847000000003,"513f2d0cfdc9f0358700d985,51414cbbfdc9f049260073e1",0,42
520361,50e733f0d7c3df413b000e41,50e755bad7c3df413b0017f3,50f62c41a84ea7c5fdd2e454,513e6f56fdc9f0358700c565,513cc2aafdc9f035870015bf,7113ae052a314e749d14f50ed4748383,left,livelier,Houston,Tokyo,2014-06-29,16:51:28,29.742992,-95.32601,35.672885,139.79184399999997,"513cc2aafdc9f035870015bf,513e6f56fdc9f0358700c565",39,0
323969,50e6fcabd7c3df413b000aa6,50e6f9cdd7c3df413b0009cf,50f62ccfa84ea7c5fdd2e459,513e6087fdc9f0358700b3e9,513e2197fdc9f0358700a46a,1e80330860a14054ba9946788e87f359,right,more depressing,Moscow,Paris,2013-08-22,18:53:47,55.74781,37.71015499999999,48.789319,2.2353090000000293,"513e2197fdc9f0358700a46a,513e6087fdc9f0358700b3e9",0,39
654724,50e73766d7c3df413b00103f,50f38aaefdc9f065f0000562,50a68a51fdc9f05596000002,513f2e7dfdc9f0358700dc0a,51422896fdc9f0492600878f,79dcd61eab6046c384f403ca1a09b5ef,left,safer,Philadelphia,Berlin,2014-01-30,18:37:44,39.975528,-75.15473099999997,52.53449,13.537915999999996,"513f2e7dfdc9f0358700dc0a,51422896fdc9f0492600878f",34,4
520380,50e733f0d7c3df413b000e41,50f38f8afdc9f065f00008e6,50f62c41a84ea7c5fdd2e454,513f1205fdc9f0358700c8f5,50f5e8aafdc9f065f000748e,b2874607cf7c4e1491a974796ec54fa8,right,livelier,San Francisco,Tokyo,2014-10-20,22:47:43,37.765195,-122.44106,35.687229,139.61630000000002,"50f5e8aafdc9f065f000748e,513f1205fdc9f0358700c8f5",8,29
1059442,50f38816fdc9f065f0000364,50e734e9d7c3df413b000ebf,50a68a51fdc9f05596000002,5185d3ddfdc9f03fd5001341,513d9c2efdc9f03587007c5a,1783710437b048419a458a5812623c4f,right,safer,Atlanta,Montreal,2015-07-15,01:55:18,33.687756,-84.488632,45.485831,-73.679303,"513d9c2efdc9f03587007c5a,5185d3ddfdc9f03fd5001341",0,37
9231,50e5ec46d7c3df413b000062,50e751ded7c3df413b001609,50f62ccfa84ea7c5fdd2e459,513d51c4fdc9f03587002ed6,5141353efdc9f04926004941,da646cda22c94f7d9314701c30f99909,right,more depressing,Glasgow,Barcelona,2014-05-02,17:03:51,55.855635,-4.238399999999956,41.448959,2.1884810000000243,"513d51c4fdc9f03587002ed6,5141353efdc9f04926004941",1,33
122042,50e5f69ed7c3df413b000377,50e5ef31d7c3df413b000178,50f62ccfa84ea7c5fdd2e459,513d6a3ffdc9f035870049e5,513d5d5dfdc9f035870038a1,faa48ef3128148d78cd9cc9b3fce082c,left,more depressing,Belo Horizonte,Denver,2013-08-16,14:32:07,-19.840193,-43.92810800000001,39.724767,-105.01752599999998,"513d5d5dfdc9f035870038a1,513d6a3ffdc9f035870049e5",34,0
77340,50e5f30fd7c3df413b000303,50e5fad8d7c3df413b00063c,50a68a51fdc9f05596000002,513d37b2fdc9f03587002c11,513e657ffdc9f0358700b991,ea30542710c9493d98347b3ed789de69,left,safer,Kyoto,Chicago,2015-03-02,21:35:18,35.051723,135.783992,41.763092,-87.56512199999997,"513d37b2fdc9f03587002c11,513e657ffdc9f0358700b991",32,0
709411,50e73a60d7c3df413b0010cc,50f3961cfdc9f065f0000bc2,50f62ccfa84ea7c5fdd2e459,5140c825fdc9f04926002149,50f46485fdc9f065f00046be,c94f655b9fbc441fa1e6efd6919cd8f9,left,more depressing,Sydney,Bratislava,2013-07-31,03:05:21,-33.946555,151.23715500000003,48.120104,17.090506000000005,"50f46485fdc9f065f00046be,5140c825fdc9f04926002149",29,3
869545,50e755bad7c3df413b0017f3,50f38123fdc9f065f0000064,50a68a51fdc9f05596000002,513cc0e8fdc9f03587001411,51414e2dfdc9f0492600779a,a4f1f52016f1498f994e383c95fd9508,left,safer,Mexico City,Houston,2016-03-30,10:55:10,19.349114,-99.14581699999997,29.723076,-95.318105,"513cc0e8fdc9f03587001411,51414e2dfdc9f0492600779a",30,1
1060318,50f38816fdc9f065f0000364,50e7316dd7c3df413b000d04,50f62ccfa84ea7c5fdd2e459,5185d41afdc9f03fd500137c,513d7888fdc9f035870061cb,29e7a2ab33bb46098e66a1c2aab5fc3a,right,more depressing,Santiago,Montreal,2014-10-20,01:01:33,-33.371895,-70.69651199999998,45.447075,-73.56070899999997,"513d7888fdc9f035870061cb,5185d41afdc9f03fd500137c",8,22
1467570,50f39811fdc9f065f0000cff,50f39a95fdc9f065f0000e96,50a68a51fdc9f05596000002,50f43aadfdc9f065f0002ef0,50f42b4ffdc9f065f00012b6,6d5f8554cfee49278ce2a9239a8d1b94,right,safer,Warsaw,Tel Aviv,2015-09-09,19:09:45,52.195918,21.04112299999997,32.06081,34.77916099999993,"50f42b4ffdc9f065f00012b6,50f43aadfdc9f065f0002ef0",0,28
56944,50e5f168d7c3df413b000279,50e6f9cdd7c3df413b0009cf,5217c351ad93a7d3e7b07a64,513d69c5fdc9f03587004849,513e1d68fdc9f035870099c2,b1f80c1286b14e898c32cbc1744edde5,right,more beautiful,Moscow,Boston,2017-03-08,09:53:30,55.792788,37.57889399999999,42.404023,-71.04502500000001,"513d69c5fdc9f03587004849,513e1d68fdc9f035870099c2",0,27
215104,50e5fdeed7c3df413b000899,50e5f30fd7c3df413b000303,50a68a51fdc9f05596000002,513e212dfdc9f0358700a3e1,513d3230fdc9f03587002883,da646cda22c94f7d9314701c30f99909,left,safer,Chicago,London,2014-05-02,17:08:04,41.856641,-87.72488499999997,51.481582,-0.1819590000000062,"513d3230fdc9f03587002883,513e212dfdc9f0358700a3e1",27,0
